item_id,item_text_clean,dataset,extra,question,n_options,options_json
I am willing to talk about myself,I am willing to talk about myself,16PF,,I am willing to talk about myself.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I amuse my friends,I amuse my friends,16PF,,I amuse my friends.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I avoid philosophical discussions,I avoid philosophical discussions,16PF,,I avoid philosophical discussions.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe in one true religion,I believe in one true religion,16PF,,I believe in one true religion.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe in the importance of art,I believe in the importance of art,16PF,,I believe in the importance of art.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe laws should be strictly enforced,I believe laws should be strictly enforced,16PF,,I believe laws should be strictly enforced.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe that others have good intentions,I believe that others have good intentions,16PF,,I believe that others have good intentions.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe that people are basically moral,I believe that people are basically moral,16PF,,I believe that people are basically moral.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe that people are essentially evil,I believe that people are essentially evil,16PF,,I believe that people are essentially evil.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I believe that people seldom tell you the whole truth,I believe that people seldom tell you the whole truth,16PF,,I believe that people seldom tell you the whole truth.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I bottle up my feelings,I bottle up my feelings,16PF,,I bottle up my feelings.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I break rules,I break rules,16PF,,I break rules.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I can take strong measures,I can take strong measures,16PF,,I can take strong measures.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I can't do without the company of others,I can't do without the company of others,16PF,,I can't do without the company of others.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I can't stand being contradicted,I can't stand being contradicted,16PF,,I can't stand being contradicted.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I carry the conversation to a higher level,I carry the conversation to a higher level,16PF,,I carry the conversation to a higher level.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I cheer people up,I cheer people up,16PF,,I cheer people up.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I continue until everything is perfect,I continue until everything is perfect,16PF,,I continue until everything is perfect.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I counter others' arguments,I counter others' arguments,16PF,,I counter others' arguments.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I cry during movies,I cry during movies,16PF,,I cry during movies.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I disclose my intimate thoughts,I disclose my intimate thoughts,16PF,,I disclose my intimate thoughts.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I dislike loud music,I dislike loud music,16PF,,I dislike loud music.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I dislike myself,I dislike myself,16PF,,I dislike myself.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I dislike works of fiction,I dislike works of fiction,16PF,,I dislike works of fiction.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I distrust people,I distrust people,16PF,,I distrust people.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I do not enjoy watching dance performances,I do not enjoy watching dance performances,16PF,,I do not enjoy watching dance performances.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I do not like poetry,I do not like poetry,16PF,,I do not like poetry.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I do things by the book,I do things by the book,16PF,,I do things by the book.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I do things that others find strange,I do things that others find strange,16PF,,I do things that others find strange.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I do unexpected things,I do unexpected things,16PF,,I do unexpected things.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't let others discourage me,I don't let others discourage me,16PF,,I don't let others discourage me.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't like action movies,I don't like action movies,16PF,,I don't like action movies.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't like crowded events,I don't like crowded events,16PF,,I don't like crowded events.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't like to get involved in other people's problems,I don't like to get involved in other people's problems,16PF,,I don't like to get involved in other people's problems.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't mind being the center of attention,I don't mind being the center of attention,16PF,,I don't mind being the center of attention.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't mind eating alone,I don't mind eating alone,16PF,,I don't mind eating alone.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't talk a lot,I don't talk a lot,16PF,,I don't talk a lot.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I don't worry about things that have already happened,I don't worry about things that have already happened,16PF,,I don't worry about things that have already happened.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy being part of a group,I enjoy being part of a group,16PF,,I enjoy being part of a group.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy being part of a loud crowd,I enjoy being part of a loud crowd,16PF,,I enjoy being part of a loud crowd.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy bringing people together,I enjoy bringing people together,16PF,,I enjoy bringing people together.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy discussing movies and books with others,I enjoy discussing movies and books with others,16PF,,I enjoy discussing movies and books with others.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy hearing new ideas,I enjoy hearing new ideas,16PF,,I enjoy hearing new ideas.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy my privacy,I enjoy my privacy,16PF,,I enjoy my privacy.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy silence,I enjoy silence,16PF,,I enjoy silence.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy spending time by myself,I enjoy spending time by myself,16PF,,I enjoy spending time by myself.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy teamwork,I enjoy teamwork,16PF,,I enjoy teamwork.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I enjoy wild flights of fantasy,I enjoy wild flights of fantasy,16PF,,I enjoy wild flights of fantasy.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel comfortable around people,I feel comfortable around people,16PF,,I feel comfortable around people.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel comfortable with myself,I feel comfortable with myself,16PF,,I feel comfortable with myself.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel crushed by setbacks,I feel crushed by setbacks,16PF,,I feel crushed by setbacks.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel desperate,I feel desperate,16PF,,I feel desperate.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel guilty when I say 'no',I feel guilty when I say 'no',16PF,,I feel guilty when I say 'no'.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel others' emotions,I feel others' emotions,16PF,,I feel others' emotions.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I feel threatened easily,I feel threatened easily,16PF,,I feel threatened easily.,5,"[{""value"": ""1"", ""label"": ""Strongly disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neither agree nor disagree""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
